colony_name,category
Krishna Park Extn,D
Krishna Park Khanpur Deovli,G
Krishna Park Tughlakabad,G
Krishnapuri (22),D
Krishna Puri (87),G
Krishna Puri Mandavli,G
Krishna Vihar,G
Kucha Alam,E
Kucha Bulaki Begam,E
Kucha Ghasiram,E
Kucha Lal Man,E
Kucha Mahajani,E
Kucha Natwa,E
Kucha Pandit,E
Kucha Pati Ram,E
Kucha Sohan Lal,E
Kucha Tiku Sah,E
Kuldeep Nagar,G
"Kumar Enclave, Dindarpur",G
Kuncha Rahman,E
Kundan Nagar,F
Kunwar Singh Park Ranhola,G
Kureni,H
Kushak,G
Kushak No.1 & 2 Burari,G
Lachaman Park,F
Ladha Sarai,G
Lado Sarai,F
Lado Sarai Extn,F
1091 Ladpur —,H
1092 Lajpat Nagar-I —,C
1093 Lajpat Nagar-II —,C
1094 Lajpat Nagar-III —,C
1095 Lajpat Nagar-IV —,C
1096 Lajwanti Garden —,E
1097 Lakhi Ram Park —,G
1098 Lakh Pat Colony Meetha Pur Extn —,G
1099 Lakshmi Nagar —,F
1100 Lakshmi Park —,G
1101 Lal Bagh —,E
1102 Lal Gumbad & JJC —,G
1103 Lalita Park —,F
1104 Lalkuan Bazar —,E
"1105 Lal Kuan, M B Road —",G
1106 Lal Quarters —,G
1107 Lampur —,H
1108 Lawrence Rd Indl Area —,E
"1109 Laxman Puri, Roshanpura —",G
"1110 Laxmi Garden, Chotey Lal Park —",E
"1111 Laxmi Garden, Najafgarh —",G
"1112 Laxmi Garden, Roshanpura —",G
1113 Laxmi Kunj —,E
1114 Laxmi Nagar (Nangloi) —,G
"1115 Laxmi Park, Ranhola —",G
1116 Laxmi Vihar —,G
"1117 Laxmi Vihar, Najafgarh —",G
1118 Laxmi Vihar (Nangloi) —,G
1119 Laxmi Vihar (Uttam Nagar) —,G
1120 Lekhu Nagar —,F
1121 Leprosy Colony —,F
1122 Libaspur Village —,H
1123 Lodhi Colony —,B
1124 Lodi Road Institutional Area —,A
1125 Loha Mandi —,E
1126 Loharheri —,G
1127 Lokesh Park Najafgarh —,G
1128 Lok Sewak Coop H.B. Society —,C
1129 Lok Vihar —,D
1130 Madangir Camp —,G
1131 Madangir Village —,F
1132 Madan Park —,E
1133 Madanpur Dabas —,G
1134 Madanpur Dabas Village —,H
1135 Madan Pur Extn —,G
1136 Madanpuri —,G
1137 Madanpur Khader —,G
1138 Madanpur Khader Extn (JJ Colony) —,G
1139 Madarasi Colony Mori Gate —,E
1140 Madhuban —,D
1141 Madhuban Enclave —,E
1142 Madhu Vihar —,D
"1143 Madhu Vihar, Uttam Nagar —",F
1144 Madipur —,G
1145 Madipur Colony —,F
1146 Maha Lakshmi Enclave —,F
1147 Maharam Mohalla —,F
1148 Maharana Pratap Enclave —,D
1149 Maharani Bagh —,A
1150 Maharani Enclave (Uttam Nagar) —,G
"1151 Maharishi Enclave, Sagarpur —",G
1152 Mahavir Block —,F
1153 Mahavir Colony (Narela) —,G
1154 Mahavir Enclave Part I —,G
1155 Mahavir Enclave Part II —,F
1156 Mahavir Enclave (Uttam Nagar) —,F
1157 Mahavir Nagar —,E
1158 Mahavir Vihar —,F
1159 Mahavir Vihar Kanjhawala —,G
1160 Mahavir Vihar Palam —,G
1161 Mahendra Enclave —,D
1162 Mahendra Park —,G
"1163 Mahesh Vihar, Uttam Nagar —",G
"1164 Mahila Colony, Shahdara —",F
1165 Mahindra Park —,F
1166 Mahindra Park (Janakpuri) —,G
"1167 Mahindra Park, Uttam Nagar —",F
1168 Mahipalpur —,F
1169 Mahipalpur Extn —,F
1170 Maidan Garhi —,H
1171 Maidan Garhi Extn. —,F
1172 Maj Bhupender Singh Nagar —,E
1173 Majlis Park —,E
1174 Majnu Ka Tila —,F
1175 Major Bhola Ram Enclave —,F
1176 Makki Sarai —,F
1177 Maksudabad Extn. —,G
1178 Malikpur Chhawani —,G
1179 Malikpur Kohi Alias Rangpuri —,H
1180 Malik Pur Zer Najafgarh —,H
1181 Malka Ganj —,D
"1182 Mall Apartment, Mall Road —",D
1183 Mall Road Kishan Garh —,E
1184 Malviya Nagar —,C
1185 Mamoor Pur —,H
1186 Manak Pura —,F
1187 Manak Vihar —,D
1188 Manak Vihar Extn. —,F
1189 Manak Vihar Extn. Tihar —,E
1190 Manak Vihar (Subhash Nagar) —,F
1191 Manas Kunj —,G
1192 Mandavli Fazalpur —,G
1193 Mandawali Unchepar —,F
1194 Mandli —,H
1195 Mandli —,H
"1196 Mandli Pahari, Arjungarh —",G
1197 Mandoli Chowk Colony —,G
1198 Mandoli Kachi —,G
1199 Mangalam Place —,C
1200 Mangalam Vihar —,G
1201 Mange Ram Park Budh Vihar —,G
1202 Mange Ram Park Pooth Kalan —,G
1203 Manglapuri —,G
"1204 Mangla Puri, Palam —",G
1205 Mangolpuri —,G
1206 Mangolpuri Industrial Area —,E
1207 Mangolpur Kalan —,G
1208 Mangolpur Khurd —,G
1209 Manhari Junk (Meethapur) —,G
1210 Maniram Park —,G
1211 Manohar Nagar —,D
1212 Manohar Park —,E
1213 Mansa Ram Park —,G
"1214 Mansa Ram Park, Najafgarh —",G
"1215 Mansa Ram Park, Uttam Nagar —",G
1216 Mansarowar Garden —,D
1217 Mansarowar Park —,F
1218 Man Singh Nagar —,G
1219 Mantola Mohalla —,E
1220 Masihgarh —,E
1221 Masjid Moth —,E
1222 Masjid Moth DDA Flats —,C
1223 Master Block —,F
1224 Master Mohalla —,G
"1225 Master Mohalla, Tughlakabad —",G
1226 Masudabad —,G
1227 Masudpur Village —,F
1228 Mata Rameshwari Nehru Nagar —,E
1229 Mata Sundari Railway Colony —,D
"1230 Matiala Extn, Uttam Nagar —",G
"1231 Matiala Extn, Uttam Nagar —",F
1232 Matia Mahal —,E
1233 Matiyala —,G
1234 Maujpur Colony —,F
1235 Maujpur Village —,G
1236 Maurice Nagar —,B
1237 Maurya Enclave —,D
1238 Mausam Vihar —,D
1239 Maya Enclave —,D
1240 Mayapuri Industrial Area —,E
1241 Mayfair Garden —,A
1242 Mayur Vihar —,D
1243 Meena Bazar —,E
1244 Meera Bagh —,D
"1245 Meera Enclave, Ranhola —",G
"1246 Meer Dard Basti, Baroon Road —",G
"1247 Meer Vihar, Mubarakpur —",G
"1248 Meet Nagar, Shahdara —",F
"1249 Meet Nagar, Wazirabad Road —",G
1250 Mehram Nagar —,E
1251 Mehrauli —,F
1252 Meitri Enclave (Narela) —,G
"1253 Milan Enclave, Daulatpur —",G
1254 Milan Vihar —,G
1255 Milap Nagar —,G
1256 Minakshi Garden —,E
1257 Mini Subhash Camp —,G
"1258 Minto Road Flats (CPWD, PWD, MCD) —",D
1259 Mir Pur Turk —,H
1260 Mirza Galib Bara Khamba —,F
1261 Mirzapur —,G
1262 Mirzapur Village —,G
1263 Mitha Pur —,H
1264 Mitha Pur Extension —,G
1265 Mithla Vihar Nangloi —,G
1266 Mitra Mandal Mohalla (Narela) —,G
1267 Mitraon —,H
1268 Mitraon Extn. Najafgarh —,G
1269 Miyanwali Nagar —,D
1270 Mochi Bagh Arakpur —,E
1271 Mochi Gaon —,E
1272 Model Basti —,E
1273 Model Hsg Society —,D
1274 Model Town —,D
1275 Mohalla Ram Nagar —,F
1276 Mohalla Sarai —,F
1277 Mohalla Subhash —,G
1278 Mohan Baba Nagar Tajpur Extn —,G
"1279 Mohan Block, Pankha Road —",G
1280 Mohan Cooperative Industrial Estate —,D
1281 Mohan Garden (Uttam Nagar) —,G
"1282 Mohan Nagar, Pankha Road —",G
1283 Mohan Park —,G
1284 Mohan Park —,F
"1285 Mohan Park, Navin Shahdara —",G
1286 Mohd. Pur Majra —,H
1287 Mohd. Pur Ramjan Pur —,H
"1288 Mohinder Singh Park, Najafgarh —",G
"1289 Mohindra Park, Pankha Road —",G
1290 Mohit Nagar —,G
1291 Mojiwala Bagh —,E
1292 Molarband Extn —,G
"1293 Molar Band, Nasirpur —",G
1294 Molarband Village —,H
1295 Mool Chand Colony —,E
1296 Mori Gate —,E
1297 Motia Bagh —,E
1298 Motia Khan —,E
1299 Motibagh Industrial Area —,F
1300 Moti Bagh Industrial Area (Karol Bagh) —,F
1301 Moti Nagar —,E
1302 Moti Park —,G
1303 Mubarakpur Dabas —,H
1304 Muhammadpur —,E
1305 Mujeeb Bagh —,F
1306 Mukand Pur —,H
1307 Mukand Pur (Burari) —,G
1308 Mukand Vihar —,G
1309 Mukharjee Nagar —,D
1310 Mukherjee Park Extn —,F
1311 Mukhimpura —,G
1312 Mukhmel Pur —,H
1313 Mukhram Garden —,F
1314 Mukhram Park Extn —,G
1315 Mukti Ashram Colony Ibrahimpur —,G
1316 Multani Dhanda —,E
1317 Multani Mohalla —,F
1318 Mundhala Kalan —,H
1319 Mundhala Khurd —,H
1320 Mundka Extn —,G
1321 Mundka Village —,H
1322 Munga Nagar —,G
1323 Mungesh Pur —,H
1324 Munirka DDA Flats —,C
1325 Munirka Enclave —,C
1326 Munirka Vihar —,C
1327 Munirka Village —,E
1328 Munshiram Dairy Colony —,G
1329 Muradabad Pahari —,H
1330 Mustafabad —,F
1331 Mustafabad Village —,H
1332 Nabi Karim —,E
1333 Nagla Machi —,F
1334 Nagli Vihar —,G
1335 Naharpur Village —,G
1336 Nai Basti —,G
1337 Nai Basti —,E
1338 Nai Basti Anand Parbat —,F
1339 Nai Basti Bankner —,G
"1340 Nai Basti, Mehrauli —",G
1341 Nai Wala —,E
1342 Nai Walan —,E
1343 Najafgarh —,G
1344 Najafgarh Extn —,G
"1345 Najafgarh Park, Nangloi —",G
1346 Najafgarh Road Industrial Area —,E
"1347 Nala Par Basti, Sagarpur —",G
1348 Namdhari Colony —,G
1349 Namdhari Colony —,D
1350 Nanak Enclave —,F
1351 Nanak Heri —,H
1352 Nanakpura —,D
1353 Nanak Pura (Mayapuri) —,D
1354 Nanakpura Shakarpur —,F
1355 Nanda Block —,G
1356 Nanda Enclave Najafgarh —,G
1357 Nand Nagri —,F
1358 Nand Ram Park (Uttam Nagar) —,G
"1359 Nand Ram Park, Uttam Nagar —",G
1360 Nand Vihar Kakrola Road —,G
1361 Nangal Dairy —,G
1362 Nangal Dewat —,H
1363 Nangal Raya —,G
1364 Nangal Raya Extn —,G
1365 Nangal Raya Shopping Centre —,D
1366 Nangal Thakran —,H
1367 Nangla —,G
1368 Nanglee Jalib Village —,G
1369 Nangli —,F
1370 Nangli Poona —,H
1371 Nangli Poona Extn —,G
1372 Nangli Razapur —,G
1373 Nangli Razapur —,H
1374 Nangli Sakrawati —,G
"1375 Nangli Vihar, Najafgarh Road —",G
1376 Nangloi Enclave (B Block) —,G
1377 Nangloi Extn —,G
1378 Nangloi Jat —,H
1379 Nangloi JJ Colony No. 2 —,G
1380 Nangloi Sayad —,G
1381 Nanhey Park (Uttam Nagar) —,F
1382 Nanhey Ram Park —,G
1383 Naraina Industrial Area Phase I & II —,E
1384 Naraina Vihar —,D
1385 Naraina Vihar (Mundka) —,G
1386 Naraina Village —,G
1387 Narang Colony —,D
1388 Narang Colony (Tri Nagar) —,F
1389 Narayan Nagar —,F
1390 Narela Mandi —,G
1391 Narela Mandi Extn —,G
"1392 Naresh Enclave, Barwala —",G
1393 Naresh Park —,G
"1394 Naresh Park, Nangloi —",G
"1395 Narsingh Garden, Khayala —",G
1396 Narsingh Park —,G
1397 Nathu Colony —,F
1398 Nathu Colony —,G
1399 Nathu Pura —,G
1400 Nathu Vaid Colony —,G
1401 National Park —,C
1402 Nauroji Nagar —,B
1403 Naveen Kunj Society —,G
"1404 Naveen Palace, Najafgarh —",G
1405 Naveen Vihar —,G
1406 Navin Shahdra —,F
1407 Navinta —,D
1408 Navjeewan Camp —,G
1409 Navjivan Vihar —,B
"1410 Nav Raj Block, Najafgarh —",G
1411 Nav Sansad Vihar —,D
1412 Navyug Block —,G
1413 Nawab Ganj —,E
1414 Nawada —,G
1415 Nawada Extn —,G
"1416 Nawada House Complex, Najafgarh Road —",G
1417 Naya Bazar —,E
"1418 Naya Bazar, Najafgarh —",G
1419 Nayagaon —,G
1420 Naya Mohalla —,E
1421 Neb Sarai —,H
1422 Neb Sarai Extn —,F
1423 Neb Valley —,F
1424 Neelwal —,H
1425 Neemri Village —,G
1426 Neeti Bagh —,B
1427 Nehru Enclave —,B
1428 Nehru Nagar (Anand Parbat) —,F
1429 Nehru Nagar (Bhogal) —,E
1430 Nehru Place —,A
1431 Nehru Vihar —,G
1432 Nehru Vihar (Timarpur) —,F
1433 Netaji Subhash Place —,C
1434 Netaji Subhash Vihar Tikri Kalan Rohtak Road —,G
1435 New Anarkali Colony —,F
1436 New Ashok Nagar —,G
1437 New Chauhanpur —,G
1438 New Friends Colony —,A
"1439 New Ganesh Park, Shastri Park —",F
1440 New Gobind Pura —,F
1441 New Gobind Pura Extn —,F
"1442 New Gopal Nagar, Najafgarh —",G
1443 New Gupta Colony —,E
"1444 New Guru Harkishan Nagar, Nilothi —",G
"1445 New Hira Park, Najafgarh —",G
1446 New Jaffrabad —,F
1447 New Jagatpuri Extn —,F
1448 New Kathwara —,G
1449 New Kondli —,G
1450 New Krishna Nagar —,F
1451 New Krishna Nagar Extn —,F
1452 New Lahore Colony —,G
"1453 New Lahore Extn, Shastri Nagar —",F
"1454 New Lahore Mohalla, Shastri Nagar —",F
"1455 New Lahore Munshi Colony, Shastri Nagar —",F
1456 New Layalpur Colony —,F
1457 New Layalpur Extn (Jagat Puri) —,F
1458 New Modern Shahdara —,F
1459 New Moti Nagar —,F
1460 New Multan Nagar —,D
1461 New Patel Nagar —,D
1462 New Police Line —,C
1463 New Rajdhani Enclave —,D
1464 New Rajinder Nagar —,D
1465 New Ranjit Nagar —,E
1466 New Rashid Market —,F
1467 New Roshan Pura —,G
1468 New Sabzi Mandi —,E
"1469 New Sainik Vihar, Najafgarh Road —",G
"1470 New Sainik Vihar, Vikas Nagar —",G
1471 New Sarup Nagar —,G
1472 New Usmanpur —,F
1473 New Uttam Nagar —,G
1474 New Vishwas Nagar —,F
1475 New Yadav Enclave —,G
1476 Nigam Colony —,G
1477 Nihal Vihar —,G
1478 Nilothi Extn —,G
1479 Nilothi Village —,H
1480 Nimri Colony —,E
"1481 Niranjan Park, Najafgarh Road —",G
1482 Nirankari Colony —,F
1483 Nirmal Puri Colony (Old Double Storey) —,D
1484 Nirman Vihar —,D
1485 Nishant Kunj —,D
"1486 Nishat Park, Kakrola —",G
1487 Nishkam Society —,G
1488 Nithari —,H
1489 Niti Vihar (Kirari Mubarak Pur Road) —,G
1490 Nizam Pur Rasid Pur —,H
1491 Nizamuddin East —,B
1492 Nizamuddin West —,C
1493 Noor Illahi Colony —,G
1494 Noor Nagar & Extn —,F
1495 North Avenue Neb Sarai —,F
1496 North Chajjupur —,G
1497 Northern Camp —,F
"1498 North Extn. Area, Pusa Road —",C
1499 Okhla —,G
1500 Okhla Industrial Estate —,D
1501 Okhla Industrial Area —,D
1502 Okhla Vihar —,F
1503 Old Anar Kali —,F
1504 Oldanpur —,F
1505 Old Brijpuri —,F
1506 Old Chandrawal —,F
1507 Old Daryaganj Area (Pataudi House) —,E
1508 Old Gobind Pura —,F
1509 Old Gupta Colony —,D
1510 Old Indra Puri Karkardooma —,F
1511 Old Rajinder Nagar —,D
1512 Old Slum Quarters Madipur —,G
1513 Om Nagar Badarpur —,G
1514 Om Vihar Colony —,G
1515 Om Vihar Colony (Alipur) —,G
1516 Om Vihar (Uttam Nagar) —,F
1517 Onkar Nagar —,F
1518 Outram Lines —,D
1519 Padam Nagar —,F
1520 Padmini Enclave (Hauz Khas) —,B
1521 Pahar Ganj —,E
1522 Pahari Dhiraj —,E
1523 Pai Walan —,E
"1524 Palam Apartments, Bijwasan —",D
1525 Palam Colony —,G
1526 Palam Enclave —,E
1527 Palam Part II —,G
1528 Palam Vihar —,G
1529 Palam Village —,G
1530 Palla —,H
1531 Pamposh Enclave —,B
1532 Panchsheel Enclave —,B
1533 Panchsheel Extn —,C
"1534 Panchsheel Garden, Shahdara —",G
1535 Panchsheel Park (Seelampur) —,F
1536 Panchsheel Vihar —,C
1537 Panchshila —,A
1538 Panchshila Park —,A
1539 Panchshil Enclave (Uttam Nagar) —,G
1540 Panchwati —,E
1541 Panchwati (Bijwasan) —,D
1542 Pandav Nagar —,F
1543 Pandit Park —,F
1544 Pandu Nagar —,E
1545 Pansoli Village —,H
1546 Pant Nagar —,D
1547 Paprawat —,H
1548 Param Puri —,G
1549 Parda Bagh —,F
1550 Parhlad Vihar —,G
1551 Parhlad Vihar Colony —,G
1552 Parjapat Colony —,G
1553 Park End —,D
1554 Parmanand Nagar —,D
"1555 Parshan Enclave, Bapraula —",G
1556 Partap Garden Bindapur —,G
"1557 Partap Nagar, Saboli —",G
1558 Partapura —,F
1559 Partap Vihar Part 1 to 3 —,G
1560 Parvana Vihar —,E
1561 Parvitiya Anchal Burari —,G
"1562 Parwana Road Societies, Pitampura —",D
1563 Paryatan Vihar —,D
1564 Paryavaran Complex —,F
1565 Paschimabad —,F
1566 Paschim Enclave —,D
1567 Paschimpuri —,D
1568 Paschim Vihar —,D
1569 Paschim Vihar Extn —,E
"1570 Patel Garden, Najafgarh Road —",G
1571 Patel Vihar —,G
1572 Patparganj Industrial Area —,E
1573 Paul Colony Uttari Rithala —,G
"1574 Pawan Dham, Bakhtawarpur —",G
1575 Pehladpur Bangar Village —,H
1576 Pervesh Nagar —,G
1577 Phool Bagh —,F
1578 Pilanji —,E
1579 Pindwala Kalan —,H
1580 Pindwala Khurd —,H
1581 Pipalthala Sarai —,G
1582 Pira Garhi Relief Camp —,G
1583 Pitampura —,D
1584 Pitampura Indl Area —,D
1585 Pitampura Village —,G
1586 Pochanpur —,G
1587 Pochan Pur Extn —,G
1588 Pooth Kalan Village —,H
1589 Pooth Khurd —,H
1590 Poshangipur —,D
1591 Poshangipur Village —,G
1592 Pragati Maidan —,A
1593 Pragati Vihar —,B
1594 Prahlad Vihar —,G
1595 Prakash Mohalla —,D
1596 Prakash Vihar —,G
1597 Pram Nagar Lal Kuan M.B. Road —,F
"1598 Prasad Nagar (LIG, MIG Flats) —",D
1599 Prashant Vihar —,D
"1600 Pratap Enclave, Uttam Nagar —",G
1601 Pratap Khand —,G
1602 Pratap Nagar —,F
1603 Pratap Nagar (69) —,F
1604 Pratap Nagar (Andha Mughal) —,F
1605 Prayog Vihar —,F
1606 Preet Vihar —,D
1607 Prema Kunj —,B
"1608 Prem Colony, Bawana Road —",G
1609 Prem Enclave (Narela) —,G
1610 Prem Nagar —,G
1611 Prem Nagar —,E
1612 Prem Nagar —,F
1613 Prem Nagar (18) —,E
1614 Prem Nagar (East Patel Nagar) —,D
1615 Prem Nagar (Kanjhawala) —,G
"1616 Prem Nagar, Najafgarh —",G
1617 Prem Nagar (Nangloi) —,G
1618 Prem Nagar (Sewa Nagar) —,D
1619 Prem Vihar —,G
1620 Press Area —,A
1621 Press Colony —,E
1622 Press Enclave —,C
"1623 Press Enclave, Hastsal —",G
1624 Press Enclave (Minto Road) —,D
"1625 Prince Colony, Jait Pur Extn —",G
1626 Prithvi Park —,F
1627 Priyadarshani —,D
1628 Priya Darshani Vihar —,D
1629 Priyadarshini Vihar —,E
1630 Priya Enclave —,D
1631 Pul Pehlad Extn —,G
1632 Pul Pehladpur Village —,H
1633 Pundrik Vihar —,D
1634 Punjab Garden —,E
1635 Punjabi Bagh Apartment (208 DDA SFS Flats) —,D
1636 Punjabi Bagh Colony (Narela) —,G
1637 Punjabi Bagh East —,C
1638 Punjabi Bagh Extn —,C
1639 Punjabi Bagh West —,C
1640 Punjabi Basti —,F
1641 Punjabi Basti (Nangloi) —,G
1642 Punjabi Basti (Sabzi Mandi) —,F
1643 Punjabi Colony Alipur —,G
1644 Punjabi Colony Bawana —,G
1645 Punjab Khor —,H
1646 Purannagar —,G
"1647 Puran Nagar, Madhu Vihar —",G
1648 Pur (Pitampura) —,H
1649 Pushkar Enclave —,D
1650 Pushpa Bhawan —,A
1651 Pushpanjali —,D
"1652 Pushpanjali Enclave, Pitampura —",D
1653 Pushp Vihar —,D
1654 Qazi Pur —,H
1655 Qullakpur —,H
1656 Qutab Garh —,H
1657 Qutab Institutional Area —,B
1658 Qutab Pur Village —,H
"1659 Qutab Vihar, Najafgarh —",G
"1660 Radha Vihar, Nand Nagri —",G
1661 Radhey Puri —,F
1662 Radhey Puri Extn 1 & 2 —,F
1663 Radhey Shyam Park —,F
1664 Raghubarpura —,F
1665 Raghubir Nagar (Tagore Garden Extn) —,F
"1666 Raghu Enclave, Dabri —",G
"1667 Raghu Nagar, Pankha Road —",G
1668 Raghupur —,H
1669 Raghuwar Vihar —,G
1670 Rahat Ganj —,E
1671 Railway Colony / Qtrs Nangloi Extn —,G
1672 Raja Enclave —,D
1673 Raja Garden —,D
1674 Raja Garden (WZ Area) —,E
1675 Rajan Enclave —,G
1676 Rajan Vihar —,G
1677 Raja Park —,F
1678 Raja Puri Colony (Uttam Nagar) —,F
1679 Rajasthan Udyog Nagar —,E
1680 Raja Vihar Colony Siraspur —,G
1681 Raja Vihar (Near BIE) —,G
1682 Rajbir Colony —,G
1683 Rajdhani Enclave —,D
"1684 Rajdhani Park, Nangloi —",G
1685 Rajeev Camp (Okhla) —,G
1686 Rajeev Colony Narela —,G
1687 Rajeev Nagar (Bhalswa Dairy) —,G
"1688 Rajeev Nagar, Kakrola —",G
1689 Rajeev Nagar Kanjhawala Road —,G
1690 Rajeev Park —,G
1691 Rajendra Park —,G
1692 Rajendra Place —,A
1693 Raj Garh —,F
1694 Rajgarh Colony —,F
"1695 Rajindra Park, Pusa Road —",C
"1696 Rajindra Park, Shanker Road —",C
1697 Rajiv Colony (Jhilmil Colony) —,F
"1698 Rajiv Gandhi Nagar, Mustafabad —",G
1699 Rajiv Nagar Begampur —,G
"1700 Rajiv Nagar, Karawal Nagar —",G
"1701 Rajiv Nagar, Mandoli —",G
"1702 Rajiv Pur, Samaypur —",G
1703 Raj Nagar —,D
1704 Raj Nagar I —,G
1705 Raj Nagar Khera Kalan —,G
"1706 Raj Nagar, Palam Colony —",G
"1707 Rajnagri, Uttam Nagar —",G
1708 Rajokri Harijan Basti —,G
1709 Rajokri Village —,H
1710 Rajouri Garden —,D
1711 Rajouri Garden (WZ Area) —,E
1712 Raj Park —,G
1713 Rajpura & Gurmandi Duplex Qtrs —,E
1714 Rajpur Chhawni —,G
1715 Rajpur Colony —,F
1716 Rajpur Khurd —,H
1717 Raju Camp —,G
"1718 Raju Park, Deoli —",G
"1719 Raju Park, Kakrola —",G
1720 Rakab Ganj —,E
1721 Rama Block —,F
1722 Rama Colony —,F
1723 Rama Enclave —,G
1724 Rama Garden —,G
1725 Ramakrishan Puram —,B
"1726 Rama Market, Munirka —",F
"1727 Rama Park, Siras Pur —",G
1728 Rama Park (Uttam Nagar) —,G
"1729 Rama Vihar, Mohd. Pur Majri —",G
1730 Ramchandran Park —,E
1731 Ram Datt Enclave —,G
"1732 Ramesh Enclave, Kirari —",G
1733 Ramesh Nagar —,D
1734 Ramesh Nagar Bawana —,G
1735 Ramesh Nagar (Laxmi Nagar) —,F
1736 Ramesh Park —,F
1737 Rameshwar Nagar —,F
1738 Ramgarh —,F
1739 Ramgarh (Rajouri Garden) —,E
1740 Ram Nagar —,E
"1741 Ram Nagar Colony, Nangloi —",G
1742 Ram Nagar Extn —,E
1743 Ram Nagar (Jagatpuri) —,F
"1744 Ram Nagar, Kakrola —",G
1745 Ram Nagar near Tilak Nagar —,F
1746 Ram Nagar (Rohtas Nagar) —,G
1747 Ram Pura —,F
1748 Ram Pura —,F
1749 Ram Pura Extn Colonies —,F
1750 Rampura Industrial Area —,F
1751 Rampuri —,C
1752 Ram Vihar —,D
"1753 Rana Colony, Mehrauli —",F
1754 Ranaji Enclave (Uttam Nagar) —,G
"1755 Rana Park, Siraspur —",G
1756 Rana Pratap Bagh —,D
1757 Rangpuri —,E
1758 Ranhola Shaffipur —,H
1759 Ranhola Vihar —,G
1760 Rani Bagh —,D
1761 Rani Enclave —,G
1762 Rani Garden —,F
1763 Rani Khera —,G
1764 Rani Khera Village —,H
1765 Ranjit Nagar —,E
1766 Ranjit Park —,F
"1767 Ranjit Vihar, Nilothi —",G
1768 Raota —,H
"1769 Rao Vihar, Nangloi —",G
1770 Rashid Market —,F
1771 Rasulpur —,G
1772 Ratanakar Vihar —,G
1773 Ratan Bagh —,G
1774 Ratan Bagh (Veena Enclave) —,G
1775 Ratan Nagar —,E
1776 Ratan Park —,G
1777 Ratan Vihar —,F
1778 Rattan Bagh —,F
1779 Rattan Park —,G
"1780 Rattan Vihar, Kirari —",G
"1781 Ravi Das Colony, Narela —",G
1782 Ravi Nagar —,F
1783 Ravi Nagar Extn —,G
1784 Raza Pur Kalan —,H
1785 Raza Pur Khurd —,H
1786 RBI Colony —,D
1787 RC Khichripur —,G
1788 RC Khyala —,G
1789 RC Madipur —,G
1790 Rehgarpura —,E
1791 Reserve Bank Colony —,D
1792 Rewala Khanpur —,H
1793 Ring Road Bungalows —,A
1794 Risala Garden (Uttam Nagar) —,G
1795 Rishab Vihar —,D
"1796 Rishal Vihar, Chhawla Extn —",G
"1797 Rishib Nagar, Mohan Park —",G
1798 Rishi Kadam Pur Harijan Colony —,G
1799 Rishi Nagar —,E
1800 Rithala Village —,G
1801 Rohini —,E
1802 Rohini Institutional Area —,C
"1803 Rohini Kunj, Bawana —",G
1804 Rohit Kunj —,D
1805 Rohtash Nagar —,F
"1806 Rohtas Nagar, Janakpuri —",G
"1807 Roopali Enclave, Karala —",G
1808 Roop Nagar —,D
1809 Roop Nagar (Keshav Puram) —,E
1810 Roshan Garden (Najafgarh) —,G
"1811 Roshan Mandi, Najafgarh —",G
1812 Roshan Pura —,E
"1813 Roshanpura Allies, Dichaon Khurd —",H
1814 Roshan Pura Colony Najafgarh —,G
"1815 Roshanpura, Najafgarh —",G
"1816 Roshan Vihar, Kakrola Road —",G
"1817 Roshan Vihar, Najafgarh —",G
"1818 Rouse Avenue, Institutional Area —",B
1819 RPS Colony —,F
1820 Ruchi Vihar —,E
1821 Sabhepur —,H
1822 Sabhepur Colony —,G
1823 Sabhey Pur Gujran —,H
1824 Saboli —,G
1825 Saboli Colony —,F
1826 Saboli Extension —,F
1827 Sabzi Mandi —,E
1828 Sadar Bazar —,E
1829 Sadatpur —,G
1830 Sadbora Khurd —,G
1831 Sadhana Enclave —,B
"1832 Sadh Nagar Part I & II, Palam —",G
1833 Sadiq Nagar —,D
1834 Safdarjung Development Area —,B
1835 Safdarjung Enclave —,B
1836 Sagar Pur Main & West —,G
1837 Sahibpura —,F
1838 Sahipur Village —,G
1839 Sahupura —,G
1840 Sahyog Vihar —,F
"1841 Sai Enclave, Roshanpura —",G
1842 Saini Enclave —,D
1843 Sainik Enclave (Uttam Nagar) —,G
1844 Sainik Farm —,D
"1845 Sainik Nagar, Uttam Nagar —",G
1846 Sainik Nagar (Uttam Nagar) —,G
1847 Sainik Vihar —,D
"1848 Sainik Vihar, Mohan Garden —",G
1849 Saini Vihar —,G
1850 Saiyad Ul Ajaib Extn —,F
1851 Saiyad Ul Ajaib Village —,H
1852 Sakdarpur —,F
1853 Saket —,C
1854 Saket Block —,G
1855 Salah Pur Majra —,H
1856 Salah Pur Village —,H
1857 Salatpur Khadak —,F
1858 Salempur Majra Burari Colony —,G
1859 Sama Garden —,D
1860 Samaspur Extn —,F
1861 Samay Vihar —,E
1862 Sambhalka Village —,H
1863 Samrat Enclave —,D
"1864 Samrat Enclave, Najafgarh —",G
1865 Sandesh Vihar —,D
1866 Sangam Park —,D
1867 Sangam Vihar —,G
1868 Sangam Vihar at M.B. Road —,G
1869 Sangarpur —,H
1870 Sanjay Amar Colony —,F
1871 Sanjay Colony Bhatti Mines —,G
