colony_name,category
Bhagat Singh Colony,G
Bhagat Singh Enclave,F
Bhagat Singh Park,G
Bhagat Vihar,G
Bhagat Vihar Karawal Nagar,G
Bhagirathi Vihar,G
Bhagwan Das Nagar,D
Bhagwan Das Nagar Extn.,E
Bhagwan Nagar,E
"Bhagwan Park, Jharoda Mazra",G
Bhagwanpur Khera,G
Bhagwati Garden,G
Bhagwati Vihar,G
Bhagya Vihar,G
Bhai Parmanand Nagar,E
Bhajanpura,F
Bhalswa Dairy,G
Bharat Garden Matiala Road,F
Bharat Nagar,E
"Bharat Nagar, New Friends Colony",F
Bharat Vihar Begum Pur Extn,G
Bharat Vihar (Kakraula),G
Bharat Vihar Vashisht Park,G
Bharaula,G
Bharthal,G
Bharti Artist Colony,D
Bhati,H
Bhavishyanidhi Enclave,B
Bhera Enclave,D
Bheram Puri,G
Bhikaji Cama Palace,A
Bhim Nagri,E
Bhogal,E
Bhola Nagar,D
Bhola Nath Nagar,F
Bhola Ram Enclave Village Pochanpur,G
Bhoomi Heen Camp,G
Bhor Garh,H
Bihari Colony,F
"Bihari Colony, Mustafabad",G
Bihari Park,G
Bihari Puri Extn.,F
"Bihari Pur, Mustafabad",G
Bijwasan,G
Bindapur,G
Bindapur Village,G
Braham Puri,F
Brijpuri,F
"Brijpuri, Sherpur",G
Brij Vihar,E
Brij Vihar Pehladpur Vihar Extn,G
British India Colony,G
Budhan Pur,H
Budhela Village,G
Budh Nagar (JJ Colony),G
Budhpur Bijapur,H
Budh Vihar,G
"Budh Vihar Colony, Tajpur Pahari",G
"Budh Vihar, Mandoli",F
Bulbuli Khan,E
Bulund Masjid (Shastri Park),G
Bunker Colony,G
Burari,H
Burari Extn. Colony,G
Canal Colony Okhla,G
Carriappa Marg,E
CC Colony (Rajpura),D
Chaju Colony,F
Chaman Park,F
"Chanakya Place, Uttam Nagar",F
Chanchal Park Colony (Nangloi),G
Chandan Garden,G
Chandan Hola,H
Chandan Park,G
Chandan Vihar,G
"Chandan Vihar, Burari",G
Chandar Nagar,D
Chand Bagh,F
Chander Lok,D
Chander Nagar Karawal Nagar,G
"Chander Vihar, Mandawali",G
"Chander Vihar, Nilothi",G
Chand Mohalla,F
Chand Nagar,F
Chandni Chowk,E
Chandni Mahal,E
Chand Pur,H
Chandra Lok,F
Chandra Nagar,F
"Chandra Park, Dwarka",G
"Chandra Park, Karala",G
Chandra Shekhar Azad Colony,F
Chandrawal Village,G
Chandu Nagar Karawal Nagar,G
Chandu Park,F
Chand Vihar,G
Chatta Lal Miya,E
Chhatar Pur,H
Chhatar Pur Colony,F
Chauhan Bangar,F
Chaukhandi,G
Chaukhandi Extn,F
Chaukri Mubarkabad,G
Chawla Park,F
Chchuna Lal Park,D
Chhaju Ram Colony,G
Chhatta Bhawani Shankar,E
Chhawla,H
Chhippy Wada,E
Chhota Chamarwara,E
Chilla Janata Flats,G
Chilla Saroda Bangar,H
Chilla Saroda Khadar,H
Chirag Coop. H.B. Society,C
Chirag Enclave,B
Chiragh Delhi Village,F
Chitla Gate Area,E
Chitrakoot,F
Chitra Vihar,D
Chittaranjan Park,C
Chowk Nai Basti,E
Christian Colony,E
Christian Colony Mehrauli,G
Chuna Mandi,E
Citizens Enclave,E
Civil Lines,C
Cottage Enclave,D
"Dabar Enclave, Jaffarpur",G
Dabri Extn,G
Dabri Extn Village,G
Dairy Colony,G
Dairy Mansha Ram,G
Dakshinpuri,G
"Dakshinpuri Extn Block 19, South Enclave",G
Dalai Mohalla,F
Dallupura,H
Dalmia Vihar,D
Daryaganj,D
Darya Pur Kalan,H
Daryapur Khurd,H
Dasghera Village,H
Dashrath Puri,G
"Dashrath Puri, Palam Road",G
Data Ram Park near Dindarpur,G
Daulat Pur,H
Dawat Nagar,F
Daya Basti,F
Dayalpark Sagarpur,G
Dayalpur,G
Dayal Pur (Behari Pur Village),H
Dayalsar Colony,F
Dayanand Block,F
Dayanand Colony,D
Dayanand Vihar,D
Deepak Vihar,G
Deepali,D
Deep Colony Bawana,G
Deep Enclave,C
"Deep Enclave, Hastsal",G
Deep Vihar,G
Defence Colony,B
Defence Enclave,D
"Defence Enclave, Mahipalpur",E
Dehroti,G
Delhi Dayal Coop H.B. Society,C
Delhi University South Campus & Army Area,B
Deoli Colony,G
Deoli Village,H
Deorala,H
Dera,H
Derawal Nagar,D
Devaram Park,F
Devi Nagar,G
Dev Kunj (Raj Nagar),G
Dev Nagar,E
Dhaka,G
Dhaka Johar near Dr. Mukherjee Nagar,G
"Dhanka Colony, Nangloi Jat",G
Dhansa,H
Dhansa Extn,G
Dharam Kunj,E
"Dharam Pura, Chandni Chowk",E
"Dharam Pura Colony, Najafgarh",G
"Dharam Pura, Gandhi Nagar",F
"Dharam Vihar, Dwarka",G
Dharma Colony,G
Dhirpur Village,G
Dhruv Enclave,G
Dhul Siras Village,G
Dichaon Enclave,G
Dichaon Kalan,H
Dilkhush Bagh,D
Dilkhush Bagh Industrial Area,E
Dilshad Colony,F
"Dilshad Garden (82, 83)",F
Dindar Pur,H
"Dindarpur Extn, Najafgarh",G
DLF Industrial Area,E
Dori Walan,E
Dr. Ambedkar Colony Andheri Mor,G
"Dr. Ambedkar Colony, Bijwasan",G
"Dr. Ambedkar Colony, Johripur",G
"Dr. Ambedkar Nagar, Haiderpur",G
Dr. Ambedkar Nagar (Madangir),G
Dr. Bhimrao Ambedkar Colony,F
DR Lohia Industrial Area,F
Duggal Colony,F
Duragapuri,F
"Durga Enclave, Jaffarpur Kalan",G
Durga Mohalla,G
Durga Park Colony,G
"Durga Park Colony, Dabri",G
"Durga Park, Najafgarh",G
"Durga Park, Nasirpur",G
"Durga Puri, Dabri",G
Durgapuri Extn,G
"Durga Vihar, Deoli",G
"Durga Vihar, Dwarka",G
"Durga Vihar, Najafgarh",G
"Durga Vihar, Tughlakabad",F
Dwarka,D
Dwarkapuri,F
East End Apartments,D
East End Enclave,E
East Krishna Nagar,F
East Moti Bagh (Karol Bagh),F
East of Kailash,C
East Old Seelampur,F
East Patel Nagar,C
East Uttam Nagar,G
EIL Friends Society,G
Eklaviya Enclave,E
Ekta Vihar,C
"Ekta Vihar, Jaitpur",G
"Ekta Vihar, Najafgarh",G
"Electricity Colony, Punjabi Bagh",E
"Electricity Colony, Shalimar Bagh",D
Engineers Enclave,D
Escort Area,C
Farash Khana,E
Faridpuri,F
Farsh Bazar,F
Fateh Nagar,F
Fateh Nagar Village,G
Fateh Pur Beri,H
Fatehpuri Bari Extn,E
Fatehpur Jat,H
Fathepuri,E
Firoz Shah Kotla Stadium,C
Freedom Fighter Vihar,F
Friends Colony,A
Friends Colony East,A
Friends Colony Mundka,G
Friends Colony West,A
"Friends Enclave, Nangloi",G
Friends Enclave Part-2,F
Friends Enclave Sultanpur Road,G
Fyaz Ganj,E
Gadaipur,H
Gafoor Nagar,F
Gagan Vihar,D
Gagan Vihar Badarpur,G
Gagan Vihar Extn,E
"Gamini Park, Nangli Sakrawati",G
Gamri,F
Gandhi Market Area,D
Gandhi Nagar,E
Gandhi Nagar (Mandawali),F
Gandhi Vihar,F
Ganesh Nagar,E
Ganesh Nagar II,F
Ganesh Park,F
Ganeshpura,F
Ganga Ram Park,G
Gangaram Vatika,E
"Ganga Sahai Colony, Mandoli",G
Ganga Vihar,F
Garhi Extn,D
Garhi Jharia Maria,F
Garhi Khasru,H
Garhi Khurd,H
Garhi Mendu,G
Garhi Mendu Village,H
Garhi Peeran,G
Garhi Rindhala,H
Gashi Pura Prem Vihar,G
"Gaurav Nagar, Anand Nagar",G
"Gauri Shankar Enclave, Mundka",G
Gautam Colony,G
Gautam Marg,G
Gautam Nagar,D
Gautampuri,G
Gautam Puri I & II (JJ Colony),G
"Gautampuri, IP Estate",G
Gautampuri (Jaffrabad),F
"Gautam Vihar, Harkesh Nagar",F
Gazzu Katra,F
G B Road Area,E
Geeta Colony,F
Geetanjali Enclave,B
"Geetanjali Enclave, Dabri",F
Geetanjali Park,F
Ghaffar Manzil Colony,F
Ghalib Pur,H
Gharo,H
Gharoli Extn,G
Gharoli Village,H
"Gharonda Apartment, Shrestha Vihar",D
Gharonda Neemka Khadar,H
Ghasipura,G
Ghasi Pura Nangli Dairy,G
Ghas Mandi,F
Ghatesar,H
Ghazipur,G
Ghazipur Dairy Farm,G
Gheora Extn. Colony,G
Gheora Village,H
Ghisa,F
Ghitorni Village,H
Ghoga,H
Ghonda Colony,F
Ghonda Neemka,G
Ghonda Village,G
Ghondli Village,G
Gian Park,F
Gilahari Bagh,D
Giri Nagar,F
Gitanjali Apt,D
Gobind Mohalla,E
Gobind Pura,F
Goela Dairy,G
Goela Khurd,H
Goela Vihar,G
Gokhale Market,E
Gokulpuri,F
Gokulpur Village,H
Gola Kuan,G
Golden Park,F
Golden Park (Jagatpuri),F
Goman Hera,H
Gopalnagar,F
Gopal Nagar,F
"Gopal Nagar Extn, Khaira Road",G
"Gopal Nagar, Najafgarh",G
Gopal Park,G
Gopal Park Budh Vihar,G
Gopal Park (Jagatpuri),F
Gopal Pur Extn,F
Gopalpur (Haiderpur),H
Gopal Vihar,G
Gorakh Park,F
Goverdhan Behari Colony,F
Govind Garh,F
Govind Khand,F
Govind Park,F
Govindpuri,F
Govindpuri Extn,F
Govind Vihar,G
Greater Kailash Enclave I & II,B
Greater Kailash I,B
Greater Kailash II,B
Greater Kailash III,B
Greater Kailash IV (NRI Colony),B
Green Park,B
Green Park Extn,B
"Green Valley Enclave, Ghavera Nizampur Road",G
GT Karnal Rd Industrial Area,E
Gua Shala,F
Gudahi Mohalla,F
Gujarat Vihar,D
Gujranwala,D
Gujranwala (Vikas Puri),F
Gulab Bagh,G
Gulabi Bagh,E
Gulabi Park,G
Gulmohar Park,B
"Gulshan Park, Nangloi",G
"Gupta Enclave, Ranhola Road",G
Gupta Park Najafgarh Road,G
"Gurpreet Nagar, Uttam Nagar",F
Guru Amardas Nagar,F
Guru Angad Nagar East,F
Guru Angad Nagar Extn,F
Guru Arjun Nagar,E
"Guru Hari Kishan Nagar, Nilothi Extn",G
Guru Harkishan Nagar,D
Guru Har Krishan Nagar Near Matiala,G
Gurukul Vihar,G
Gurunanak Nagar,E
Guru Nanak Nagar,G
Guru Nanak Ngr,F
Guru Nanakpura,F
Guru Nanak Pura,F
Guru Nanak Vihar,G
Guru Ram Dass Nagar,F
Guru Ravi Dass Nagar Harijan Basti,G
Guru Teg Bahadur Enclave,F
Guru Teg Bahadur Nagar,D
Gyan Kunj,E
Gyan Mohalla,F
Haibatpur,G
Haidarpur Village,G
Haji Colony,F
Hakikat Nagar,D
Hamdard Nagar,B
Hamidpur,H
"Hans Nagar Colony, Pindwala Kalan",G
Hanuman Enclave,G
Hanuman Mandir Colony,G
"Hardev Nagar, Jharoda Majra Extn",G
Hardev Puri,G
Hardev Vihar,G
Hareoli,H
Hargovind Enclave,D
Har Govind Enclave Raj Pur Khurd,G
Hari Das Colony,G
Hari Enclave,G
Harijan Basti Amar Colony Mundka,G
"Harijan Basti, Ashok Nagar",G
Harijan Basti Bawana,G
"Harijan Basti, Bijwasan",G
Harijan Basti Bindapur,G
"Harijan Basti, Dallupura",G
"Harijan Basti Extn, Sadatpur Karawal Nagar",G
"Harijan Basti, Jharoda Majra, Burari",G
"Harijan Basti, Jyoti Nagar West",G
"Harijan Basti, Karkardooma",G
"Harijan Basti, Kondli",G
"Harijan Basti, Lal Kuan",G
"Harijan Basti, Mandoli Extn",G
"Harijan Basti, Masudpur",G
"Harijan Basti, Mithapur",G
"Harijan Basti, New Rohtak Road",G
"Harijan Basti, Okhla",G
"Harijan Basti, Palam",G
"Harijan Basti, Patparganj",G
"Harijan Basti, Sagarpur",G
"Harijan Basti, Sultanpuri",G
Harijan Colony,G
Harijan Colony Begum Pur,G
Harijan Colony Neb Sarai,G
Harijan Colony (Outram Lines),F
"Harijan Colony, Tilak Nagar",G
